Time;M1 pos;M2 pos;M3 pos;M1 vel;M2 vel;M3 vel;M1 cur;M2 cur;M3 cur;
136;-30238;-30238;-30238;0;0;0;0.0197952;0.0197952;0.0197952;
118;-30259;-52177;85363;-60;0;0;0.0923774;-0.0791807;0.455289;
122;-30534;-51904;85363;-90;60;0;0.356313;-0.501478;0.475084;
119;-31205;-51124;85359;-210;240;0;0.461887;-0.442092;0.481682;
117;-31916;-50292;85352;-180;270;0;0.402502;-0.263936;0.514674;
118;-33060;-49146;85353;-300;270;0;0.376108;-0.283731;0.488281;
119;-33906;-48325;85353;-300;270;0;0.230944;-0.250739;0.475084;
121;-34911;-47410;85354;-150;210;0;0.178156;-0.296927;0.481682;
119;-35866;-46278;85352;-210;240;0;0.257337;-0.158361;0.567461;
122;-36727;-45343;85349;-210;210;0;0.316723;-0.237542;0.534469;
134;-37577;-44556;85356;-210;210;30;0.336518;-0.310124;0.488281;
120;-38458;-43769;85356;-210;210;0;0.290329;-0.296927;0.475084;
120;-39328;-42859;85357;-240;210;30;0.283731;-0.290329;0.442092;
126;-40245;-41890;85354;-180;180;0;0.16496;-0.250739;0.521273;
119;-41229;-40783;85345;-210;240;0;0.290329;-0.237542;0.527871;
116;-42020;-39983;85346;-270;210;0;0.171558;-0.171558;0.488281;
116;-42993;-38985;85346;-210;270;0;0.171558;-0.0989758;0.560863;
117;-43860;-37919;85342;-240;270;0;0.310124;-0.105574;0.488281;
119;-44683;-37080;85344;-210;210;0;0.402502;-0.349715;0.547666;
114;-45260;-36548;85348;-240;210;0;0.290329;-0.283731;0.534469;
117;-46144;-35700;85346;-180;210;0;0.197952;-0.329919;0.560863;
119;-46808;-35004;85342;-210;240;0;0.263936;-0.296927;0.666437;
131;-48008;-33667;85346;-210;210;0;0.197952;-0.263936;0.527871;
147;-48909;-32720;85346;-180;240;0;0.105574;-0.138566;0.541068;
115;-50013;-31572;85340;-210;240;0;0.0725823;-0.197952;0.57406;
118;-50840;-30630;85335;-180;240;0;0.197952;-0.217747;0.666437;
115;-51419;-29872;85327;-150;150;30;0.343116;-0.20455;0.494879;
118;-52343;-28873;85328;-180;180;0;0.303526;-0.224345;0.626847;
117;-53041;-28125;85319;-240;150;30;0.316723;-0.270534;0.600453;
118;-53909;-27198;85224;-150;210;-30;0.4091;-0.488281;0.646642;
389;-56277;-24224;84749;-240;240;-30;0.277132;-0.211148;0.640044;
